date,V1,V2,V4,V5,V7,V8,V1_fuel,V2_fuel,V4_fuel,V5_fuel,V7_fuel,V8_fuel,FuelScore
1945-12-31,,,,,,0.8190929788291942,,,,,,,
1946-01-31,,,,,,0.8190929788291942,,,,,,,
1946-02-28,,,,,,0.8190929788291942,,,,,,,
1946-03-31,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-04-30,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-05-31,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-06-30,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-07-31,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-08-31,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-09-30,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-10-31,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-11-30,27.3372039596,,,,,0.8190929788291942,,,,,,,
1946-12-31,27.3372039596,,,,,0.4050294566877591,,,,,,,
1947-01-31,27.3372039596,,,,,0.4050294566877591,,,,,,,
1947-02-28,27.3372039596,,,,,0.4050294566877591,,,,,,,
1947-03-31,31.4624571885,,,,,0.4050294566877591,,,,,,,
1947-04-30,31.4624571885,,,,,0.4050294566877591,,,,,,,
1947-05-31,31.4624571885,,,,,0.4050294566877591,,,,,,,
1947-06-30,31.4624571885,,,,,0.4050294566877591,,,,,,,
1947-07-31,31.4624571885,,39.98044328552803,,,0.4050294566877591,,,,,,,
1947-08-31,31.4624571885,,39.98044328552803,,,0.4050294566877591,,,,,,,
1947-09-30,31.4624571885,,39.98044328552803,,,0.4050294566877591,,,,,,,
1947-10-31,31.4624571885,,37.59973924380704,,,0.4050294566877591,,,,,,,
1947-11-30,31.4624571885,,37.59973924380704,,,0.4050294566877591,,,,,,,
1947-12-31,31.4624571885,,37.59973924380704,,,0.4391385703139564,,,,,,,
1948-01-31,31.4624571885,,37.01953125,,,0.4391385703139564,,,,,,,
1948-02-29,31.4624571885,,37.01953125,,,0.4391385703139564,,,,,,,
1948-03-31,32.7833539939,,37.01953125,,,0.4391385703139564,,,,,,,
1948-04-30,32.7833539939,,40.235677083333336,,,0.4391385703139564,,,,,,,
1948-05-31,32.7833539939,,40.235677083333336,,,0.4391385703139564,,,,,,,
1948-06-30,32.7833539939,,40.235677083333336,,,0.4391385703139564,,,,,,,
1948-07-31,32.7833539939,,39.99626400996264,,,0.4391385703139564,,,,,,,
1948-08-31,32.7833539939,,39.99626400996264,,,0.4391385703139564,,,,,,,
1948-09-30,32.7833539939,,39.99626400996264,,,0.4391385703139564,,,,,,,
1948-10-31,32.7833539939,,40.60796139927624,,,0.4391385703139564,,,,,,,
1948-11-30,32.7833539939,,40.60796139927624,,,0.4391385703139564,,,,,,,
1948-12-31,32.7833539939,,40.60796139927624,,,0.4201155491361591,,,,,,,
1949-01-31,32.7833539939,,37.60481099656357,,,0.4201155491361591,,,,,,,
1949-02-28,32.7833539939,,37.60481099656357,,,0.4201155491361591,,,,,,,
